C,gamma,kernel,probability,random_state,IG__nada___MLU_Words,IG__nada___Riqueza_lexica,IG__nada___1er_TotPron,IG__nada___2da_TotPron,IG__nada___3era_TotPron,IG__nada___%_Pauses,IG__nada___%_Fillers,IG__nada___%_Reformulaciones,IG__nada___%_monoWWR,IG__nada___Rango_pitch,IG__nada___Rango_Jitter,IG__nada___Rango Shimmer,IG__nada___talking_intervals_speechrate
1.0,scale,rbf,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
1.0,scale,rbf,True,42,0,1,1,0,0,1,0,1,1,1,1,0,1
1.0,scale,rbf,True,42,1,0,0,1,0,1,0,0,1,1,1,1,0
1.0,scale,rbf,True,42,0,1,1,0,0,1,1,1,1,0,1,1,0
1.0,scale,rbf,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
1.0,scale,rbf,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
0.001,auto,sigmoid,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
0.001,auto,sigmoid,True,42,0,1,1,0,0,1,0,1,1,1,1,0,1
0.001,auto,sigmoid,True,42,1,0,0,1,0,1,0,0,1,1,1,1,0
0.001,auto,sigmoid,True,42,0,1,1,0,0,1,1,1,1,0,1,1,0
0.001,auto,sigmoid,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
0.001,auto,sigmoid,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,auto,rbf,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
0.8,auto,rbf,True,42,0,1,1,0,0,1,0,1,1,1,1,0,1
0.8,auto,rbf,True,42,1,0,0,1,0,1,0,0,1,1,1,1,0
0.8,auto,rbf,True,42,0,1,1,0,0,1,1,1,1,0,1,1,0
0.8,auto,rbf,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
0.8,auto,rbf,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
0.004,auto,rbf,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
0.004,auto,rbf,True,42,0,1,1,0,0,1,0,1,1,1,1,0,1
0.004,auto,rbf,True,42,1,0,0,1,0,1,0,0,1,1,1,1,0
0.004,auto,rbf,True,42,0,1,1,0,0,1,1,1,1,0,1,1,0
0.004,auto,rbf,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
0.004,auto,rbf,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
50.0,auto,sigmoid,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
50.0,auto,sigmoid,True,42,0,1,1,0,0,1,0,1,1,1,1,0,1
50.0,auto,sigmoid,True,42,1,0,0,1,0,1,0,0,1,1,1,1,0
50.0,auto,sigmoid,True,42,0,1,1,0,0,1,1,1,1,0,1,1,0
50.0,auto,sigmoid,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
50.0,auto,sigmoid,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
0.002,auto,rbf,True,42,1,0,1,1,1,1,0,1,0,1,0,1,1
0.002,auto,rbf,True,42,0,1,1,0,0,1,0,1,1,1,1,0,1
0.002,auto,rbf,True,42,1,0,0,1,0,1,0,0,1,1,1,1,0
0.002,auto,rbf,True,42,0,1,1,0,0,1,1,1,1,0,1,1,0
0.002,auto,rbf,True,42,1,1,0,0,0,1,0,1,1,1,0,1,1
0.002,auto,rbf,True,42,1,1,1,1,1,1,1,1,1,1,1,1,1
